Driver Name,Score_season_2020,Score_season_2021,Score_season_2022,Score_season_2023,Score_season_2024,Score_round_1,Score_round_2,Score_round_3,Score_round_4,Score_round_5,Score_round_6,Score_round_7,Score_round_8,Score_round_9,Score_round_10,Score_round_11,Score_round_12,Score_round_13,Score_round_14,Score_round_15,Score_round_16,Stop_times_round_1,duration_round_1,Stop_times_round_2,duration_round_2,Stop_times_round_3,duration_round_3,Stop_times_round_4,duration_round_4,Stop_times_round_5,duration_round_5,Stop_times_round_6,duration_round_6,Stop_times_round_7,duration_round_7,Stop_times_round_8,duration_round_8,Stop_times_round_9,duration_round_9,Stop_times_round_10,duration_round_10,Stop_times_round_11,duration_round_11,Stop_times_round_12,duration_round_12,Stop_times_round_13,duration_round_13,Stop_times_round_14,duration_round_14,Stop_times_round_15,duration_round_15,Stop_times_round_16,duration_round_16,Contructor
aitken,0.0,74.0,37.0,60.0,26.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,25.688,None
hamilton,347.0,387.5,240.0,234.0,208.0,13.6,11.4,16.2,12.0,8.8,11.2,14.6,12.0,14.0,17.2,16.4,17.9,17.4,11.6,16.4,10.0,1.8,23.2028,1.2,24.5974,1.2,201.0276,1.2,336.92859999999996,1.4,23.256400000000003,1.6,21.941200000000002,1.2,26.038,11.8,321.46320000000003,2.0,305.63539999999995,1.0,1037.525,1.2,307.8004,1.5,29.352999999999998,2.0,22.7412,1.25,24.109499999999997,1.8,25.5518,1.25,23.9905,mercedes
alonso,62.0,81.0,81.0,206.0,62.0,4.75,6.5,5.75,5.0,5.5,7.5,4.0,6.5,5.25,5.5,3.75,5.5,7.75,5.0,4.25,1.0,1.5,25.0675,1.0,25.35375,1.25,246.2365,1.3333333333333333,22.72966666666667,1.25,22.68975,1.75,22.54675,1.5,27.07575,1.25,613.77425,1.5,22.187,1.0,1291.229,1.75,29.19325,1.0,29.650000000000002,1.5,20.7525,1.25,24.156000000000002,1.25,30.94775,1.6666666666666667,25.970333333333333,aston_martin
zhou,62.0,74.0,6.0,6.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,25.436333333333334,1.6666666666666667,27.588666666666665,1.6666666666666667,331.0316666666667,1.6666666666666667,27.034333333333336,1.0,23.079,1.3333333333333333,23.795333333333332,1.3333333333333333,26.242333333333335,24.333333333333332,24.959000000000003,1.3333333333333333,24.751,2.0,28.448500000000003,1.3333333333333333,22.918333333333333,2.3333333333333335,34.653333333333336,1.6666666666666667,21.578333333333337,2.0,24.6615,2.0,26.038,1.3333333333333333,25.531666666666666,sauber
kubica,62.0,0.0,37.0,60.0,26.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,19.708,1.0,24.501,,,,,None
piastri,62.0,74.0,37.0,97.0,268.0,2.0,6.0,8.0,2.0,2.0,0.5,6.0,9.0,5.0,9.0,14.0,6.0,13.5,9.0,9.0,16.5,1.0,25.45,1.0,26.4805,1.5,476.537,1.5,22.161,1.0,22.439,1.5,28.13,1.0,26.07,1.5,1190.5405,1.5,20.4,1.0,25.439500000000002,1.5,21.504,1.0,29.541,1.0,21.641,1.5,27.211,1.0,25.169,1.5,24.5625,mclaren
vettel,33.0,43.0,37.0,60.0,26.0,0.5,0.0,2.6666666666666665,1.6666666666666667,3.3333333333333335,8.0,1.0,2.6666666666666665,0.3333333333333333,0.6666666666666666,0.0,2.0,0.3333333333333333,6.333333333333333,0.0,0.0,1.5,23.682000000000002,3.0,39.502,2.0,21.814999999999998,1.3333333333333333,27.298666666666666,1.0,24.132333333333335,1.3333333333333333,19.767,1.0,26.33866666666667,1.0,20.8975,2.3333333333333335,498.0116666666666,1.6666666666666667,29.128666666666664,1.6666666666666667,29.119999999999994,1.0,31.6685,1.6666666666666667,23.339,1.6666666666666667,24.850000000000005,1.3333333333333333,401.8133333333333,2.0,25.796999999999997,None
gasly,75.0,110.0,23.0,62.0,26.0,1.6,2.4,0.6,1.4,2.4,4.6,2.2,7.2,1.0,0.8,4.0,2.8,5.4,0.4,3.6,2.6,1.8,24.7998,1.5,24.524,1.2,202.2594,1.4,338.7692,1.4,26.774,1.8,23.5682,1.4,27.2548,1.5,987.14675,2.0,22.67125,1.6,435.28600000000006,2.0,28.102249999999998,1.0,29.612333333333336,1.25,20.44025,2.0,23.339999999999996,1.2,252.5942,1.4,25.5908,alpine
stroll,75.0,34.0,18.0,74.0,24.0,2.0,2.0,6.4,1.8,2.6,2.4,2.6,4.2,1.8,0.8,0.25,1.8,0.2,1.6,0.2,3.4,1.5,25.3145,1.25,389.42425,1.6,202.18919999999997,1.4,25.8668,1.4,23.2168,1.75,23.267249999999997,1.4,28.155399999999997,10.6,322.4706,1.4,305.4464,1.75,27.19675,1.3333333333333333,21.744333333333334,1.25,32.936749999999996,1.6,24.2486,1.2,24.1204,1.5,309.7115,1.4,26.631400000000003,aston_martin
hulkenberg,10.0,74.0,0.0,9.0,35.0,0.0,0.3333333333333333,4.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.6666666666666667,29.967333333333332,1.0,21.342333333333332,1.5,472.2355,1.5,24.185000000000002,1.6666666666666667,24.947333333333333,1.5,27.490499999999997,1.5,26.503,2.0,24.2,2.0,23.2795,1.5,26.3625,2.0,22.151666666666667,1.5,27.325,2.0,22.472,2.0,23.798000000000002,1.0,28.558,2.0,30.118000000000002,haas
kvyat,32.0,74.0,37.0,60.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,12.0,0.0,0.0,6.0,2.0,21.622,1.0,22.197,2.0,22.685,,,1.0,28.036,2.0,22.079,1.0,23.769,1.0,25.92,2.0,1445.955,1.0,29.662,1.0,30.826,2.0,32.943,2.0,29.809,1.0,23.417,2.0,37.317,2.0,24.232,None
giovinazzi,4.0,3.0,37.0,60.0,26.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,2.0,23.511499999999998,1.0,26.983,1.5,22.7835,1.5,25.613,1.0,26.2065,2.0,20.9935,1.0,30.586,1.5,771.5175,2.0,27.122,1.5,28.951999999999998,2.0,739.5604999999999,1.0,26.473,1.5,24.894,1.5,27.9915,1.0,592.4934999999999,1.5,23.850499999999997,None
mazepin,62.0,0.0,37.0,60.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,31.5,1.0,21.372,2.0,22.502,1.0,25.202,3.0,24.78,1.0,30.983,1.0,22.759,2.0,23.182,1.0,2076.977,2.0,1457.42,,,1.0,19.999,3.0,30.917,2.0,33.931,1.0,23.829,None
tsunoda,62.0,32.0,12.0,17.0,30.0,1.5,0.0,1.75,2.0,0.0,3.25,0.25,1.25,0.0,0.25,2.0,0.5,0.5,0.0,0.0,0.0,1.5,24.623,1.0,24.601333333333333,1.25,247.516,1.3333333333333333,24.742333333333335,1.5,22.20625,1.0,24.79875,1.5,26.971,1.5,616.95525,1.75,22.96725,1.75,540.28525,1.25,27.47725,1.3333333333333333,30.128333333333334,1.5,20.55925,1.0,26.753500000000003,1.6666666666666667,23.544666666666668,1.3333333333333333,23.392333333333337,rb
ocon,62.0,74.0,92.0,58.0,23.0,2.0,2.8,2.4,2.0,2.4,4.4,2.8,1.8,1.8,1.8,7.0,3.0,1.0,1.8,0.8,4.2,1.8,27.6308,1.5,23.7765,1.8,206.3566,1.0,338.28740000000005,1.2,23.2394,1.25,22.96825,1.2,26.831200000000003,1.5,397.69925,1.3333333333333333,19.847666666666665,1.75,27.775750000000002,1.6666666666666667,27.974,1.75,31.4775,1.4,22.9238,1.2,24.9868,1.2,24.8404,1.0,24.988,alpine
kevin_magnussen,1.0,74.0,25.0,3.0,14.0,2.5,0.75,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.25,2.0,0.0,0.0,0.0,0.25,0.25,1.6666666666666667,25.089333333333332,1.0,21.670250000000003,1.6666666666666667,325.83,1.0,549.782,1.5,23.913,2.0,26.252666666666666,1.6666666666666667,26.813666666666666,1.0,28.847333333333335,2.0,29.583,1.6666666666666667,29.542666666666666,2.0,22.2965,1.75,29.28975,1.75,24.146500000000003,1.75,56.436,1.75,29.122,1.5,24.95,haas
sainz,105.0,164.5,246.0,200.0,259.0,11.8,9.0,5.4,6.2,10.6,7.6,7.6,10.2,7.4,8.4,8.8,6.1,8.4,11.2,12.8,9.6,1.4,23.914,1.25,23.7525,1.5,250.9995,1.75,25.81,1.0,25.3968,1.4,22.2308,1.0,27.00725,1.25,973.7,1.5,21.70425,1.5,534.7035,1.4,25.825800000000005,1.25,30.52325,1.4,22.9854,1.6,23.768399999999996,1.2,253.60239999999993,1.4,25.0238,ferrari
pietro_fittipaldi,0.0,74.0,37.0,60.0,26.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.393,None
norris,97.0,160.0,122.0,205.0,340.0,7.2,7.0,8.6,8.2,7.0,8.4,8.6,7.2,10.6,11.4,4.8,5.4,7.0,7.4,13.8,9.4,2.0,25.1604,1.2,23.4012,1.2,203.1316,1.2,25.123600000000003,1.2,23.797,1.4,23.935799999999997,1.4,26.2286,1.4,790.8504,1.6,308.187,1.4,631.269,1.2,26.148000000000003,1.5,29.4235,1.4,23.293799999999997,1.4,23.349800000000002,1.2,24.9654,1.6,24.1322,mclaren
latifi,0.0,7.0,2.0,60.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.6666666666666667,24.24733333333333,1.0,22.745,2.0,22.757666666666665,1.6666666666666667,28.30033333333333,1.3333333333333333,23.658,1.3333333333333333,22.26066666666667,2.0,26.720666666666663,2.0,522.384,1.5,25.593,1.6666666666666667,28.74466666666667,2.0,28.11666666666667,1.5,31.8405,1.3333333333333333,24.33,1.3333333333333333,24.358,1.3333333333333333,402.92799999999994,1.3333333333333333,24.221333333333334,None
leclerc,98.0,159.0,308.0,206.0,319.0,12.8,10.6,10.6,12.4,9.6,7.0,5.4,8.6,7.2,10.0,7.4,5.8,8.0,11.8,8.6,13.4,1.6,23.8178,1.0,27.04,1.75,20.107999999999997,1.4,338.4304,1.0,23.386,1.2,21.035400000000003,1.6,27.285800000000002,1.2,490.36979999999994,1.8,22.366600000000002,1.2,1033.0834000000002,2.0,22.0845,1.3333333333333333,26.465666666666667,1.6,24.125999999999998,1.6,23.738799999999998,1.0,251.78259999999995,1.5,23.77825,ferrari
bearman,62.0,74.0,37.0,60.0,7.0,,6.0,,,,,,,,,,,,,,,,,1.0,22.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ferrari
grosjean,2.0,74.0,37.0,60.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,23.28,1.0,22.444,1.0,22.591,1.0,33.816,1.0,29.377,1.0,23.212,1.0,23.636,1.0,25.936,2.0,1450.651,2.0,29.988,1.0,23.635,1.0,26.985,2.0,31.199,1.0,26.686,,,,,None
sargeant,62.0,74.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,25.335,1.0,22.3545,4.0,19.018,1.0,803.1410000000001,1.0,36.0835,2.0,24.2785,1.5,27.456000000000003,57.0,24.384,1.0,17.337,1.5,25.6765,2.0,22.3495,1.5,28.369500000000002,2.0,21.398,1.5,24.235500000000002,1.5,26.524,3.0,35.182,williams
mick_schumacher,62.0,0.0,12.0,60.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,25.506,2.0,32.479,1.0,20.529,1.5,27.495,1.5,28.589,2.5,22.357,1.5,34.1555,1.5,22.3155,1.0,21.798,1.5,1052.4375,2.0,29.8465,2.0,37.003,2.0,23.572,1.0,24.436,1.5,25.905,1.0,24.3545,None
max_verstappen,214.0,395.5,454.0,575.0,403.0,13.8,21.8,12.2,21.6,25.4,17.2,21.4,16.6,20.4,15.0,15.2,19.1,17.0,14.2,18.2,15.4,1.25,24.764249999999997,1.4,340.9228,1.25,246.7565,1.6,25.132799999999996,1.4,23.2976,1.4,22.0642,1.4,26.6048,11.8,322.4354,1.5,21.40375,1.5,27.160999999999998,1.6,308.73339999999996,1.25,28.405749999999998,1.6,22.1246,1.4,25.0054,1.4,25.1512,1.5,23.76625,red_bull
colapinto,62.0,74.0,37.0,60.0,5.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,25.147,williams
bottas,223.0,226.0,49.0,10.0,0.0,10.6,3.6,7.0,5.0,4.2,4.8,6.4,5.2,8.4,8.2,0.0,3.6,6.6,3.2,2.8,6.0,1.8,35.1226,1.8,23.8684,1.8,203.7322,1.8,28.541200000000003,1.0,23.53225,1.2,23.7626,1.0,27.1832,4.0,322.6544,1.2,305.12420000000003,1.4,633.2632,1.75,22.534,1.75,29.586250000000003,1.5,24.06925,1.0,23.87775,1.8,25.462799999999998,1.2,30.0388,sauber
de_vries,62.0,74.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.0,2.0,25.234,1.0,21.116,2.0,18.08,,,1.0,23.487,1.0,24.539,2.0,21.976,1.0,24.96,2.0,21.333,2.0,28.413,,,,,,,,,,,1.0,24.628,None
albon,105.0,74.0,4.0,27.0,12.0,0.25,3.0,2.75,1.0,3.0,1.0,2.0,2.0,3.75,1.25,0.0,0.5,1.0,3.25,3.75,3.3333333333333335,1.75,22.8775,1.0,21.326999999999998,1.6666666666666667,19.921333333333333,1.3333333333333333,28.401333333333337,1.5,23.49975,2.0,23.5045,2.0,26.13725,1.25,614.4137499999999,1.75,377.14099999999996,1.3333333333333333,27.664333333333335,1.75,22.2845,1.5,30.4,2.3333333333333335,25.75333333333333,1.75,23.64725,1.75,23.574999999999996,1.3333333333333333,33.61333333333334,williams
raikkonen,4.0,10.0,37.0,60.0,26.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,2.0,0.0,2.0,0.0,2.0,22.807499999999997,1.5,757.0355000000001,2.0,27.128,1.5,32.8285,1.0,26.686500000000002,1.5,21.1225,1.0,27.143500000000003,1.5,771.106,2.0,736.0409999999999,1.5,30.7135,1.5,29.158,1.0,29.061,1.0,29.863,2.0,31.356,2.0,31.2045,1.5,23.7825,None
lawson,62.0,74.0,37.0,2.0,4.0,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,30.836,2.0,24.281,1.0,32.348,2.0,23.671,None
ricciardo,119.0,115.0,37.0,6.0,12.0,1.5,3.0,3.5,5.0,0.0,0.5,5.25,3.0,5.5,5.0,3.8,2.0,3.75,7.0,4.5,2.5,1.3333333333333333,24.852666666666664,1.0,34.98925,1.25,19.9465,2.0,27.158666666666665,1.5,23.69,1.0,21.64575,1.0,27.41525,1.25,988.1659999999999,1.5,378.48699999999997,1.5,27.88875,1.8,24.3348,1.5,29.1065,1.25,23.147250000000003,1.5,23.108249999999998,1.75,24.0355,1.25,25.801000000000002,rb
russell,3.0,16.0,275.0,175.0,217.0,5.6,6.0,3.0,4.6,6.0,5.8,6.4,5.0,6.6,4.4,9.8,6.4,4.0,4.8,5.0,6.0,1.2,24.7708,1.0,22.9872,1.6,202.2942,1.4,336.9854,1.4,23.267199999999995,1.4,23.5704,1.25,26.831,1.4,510.07939999999996,1.6,307.8334,2.0,27.410500000000003,1.4,23.432,1.0,31.7875,1.6,23.7,1.2,23.3452,1.6,253.18699999999998,1.4,24.5408,mercedes
perez,125.0,190.0,305.0,285.0,152.0,10.8,12.6,11.4,17.75,14.25,13.2,11.4,8.2,6.6,8.4,6.6,7.2,8.0,14.2,4.8,10.6,1.6,22.720799999999997,1.0,26.1522,1.8,203.50619999999998,1.5,23.846999999999998,1.5,21.808999999999997,1.8,21.3126,1.2,25.767400000000002,1.5,23.320999999999998,1.5,376.28325,1.6,28.863999999999997,1.25,22.183,1.5,30.17325,1.8,22.226399999999998,1.4,23.6372,1.4,26.198400000000003,2.0,516.0424,red_bull
